Genehmigung des Protokolls der vorangegangenen Sitzung	Adoption of the Minutes of the previous sitting
Ich unterstütze die Änderungsanträge zwar nicht, aber offenbar befinden wir uns jetzt in der mißlichen Lage, über Änderungsanträge abstimmen zu müssen, ohne daß wir die Gelegenheit zu ihrer Erörterung erhalten haben.	This is a proposal without debate and we will not have any opportunity therefore to debate the amendments being put forward.
Herr Präsident, zur Geschäftsordnung.	I happen to oppose the amendments but it seems to be that we have been put in an invidious position, asking us to vote on amendments which we have not had an opportunity to debate.
Ich möchte das Hohe Haus informieren, daß die Änderungsanträge der Geschäftsordnung entsprechen.	Mr President, on a point of order, I should like to inform the House that the amendments are in order.
Sie stehen im Einklang mit dem Verfahren.	They are in line with the procedure.
Es stimmt, daß es weitaus besser gewesen wäre, wenn wir die Gelegenheit gehabt hätten, dies im Ausschuß zu erörtern, und dies wäre, wie bereits zu Beginn dieser Woche gesagt wurde, eine viel bessere Gelegenheit gewesen, eine Aussprache über dieses Thema zu führen.	It is true that it would have been much better had we had an opportunity to debate this in committee and, as was said at the beginning of the week, that would have been a much better opportunity to have the issue debated.
Doch leider ist beschlossen worden, dies ohne Aussprache durchzuführen, aber die Änderungsanträge stehen trotzdem im Einklang mit der Geschäftsordnung.	Unfortunately, the decision was taken that this would be put without debate and the amendments are in order.
Sie sind äußerst wichtig.	They are extremely important.
Herr Präsident, so wie Herr de Rossa bezweifle auch ich, ob die Änderungsanträge der Geschäftsordnung entsprechen.	Mr President, like Mr De Rossa I also question the fact of the amendments being in order.
Die sensible Lage in Nordirland ist viel zu wichtig, als daß zugelassen werden dürfte, daß aufgrund mangelhafter Informiertheit lautstark gegen den Internationalen Fonds für Irland vorgegangen wird.	The sensitivities of Northern Ireland are too important for any ill-informed bandwagoning on the International Fund for Ireland.
Ich ersuche Sie, unser Vorgehen in dieser Angelegenheit sehr genau abzuwägen, zumal es keine Aussprache geben wird.	I would ask you to consider very carefully how we proceed here, particularly as we are not in a position to have a debate.
Ich schließe mich den Bedenken meiner Kollegen, der Herrn de Rossa und McCartin, an.	I share this concern with my colleagues, Mr De Rossa and Mr McCartin.
Raytheon wurde in Derry von niemand Geringerem als den Nobelpreisträgern John Hume - einem unserer Abgeordnetenkollegen - und David Trimble willkommen geheißen.	Raytheon has been welcomed to Derry by no less than Nobel Peace Prize winners, John Hume - one of our own colleagues, and David Trimble.
Raytheon wird vom Industrial Development Board for Northern Ireland finanziert.	Raytheon will be funded by the Industrial Development Board in Northern Ireland.
Nicht ein Euro bzw. ein irisches Pfund aus dem Internationalen Fonds für Irland gelangen zu Raytheon.	Not one euro nor one Irish pound from the International Fund for Ireland is going to Raytheon.
Die Änderungsanträge sind absolut unangemessen.	The amendments are totally inappropriate.
Meine Damen und Herren!	Ladies and gentlemen, Messrs Cashman and Simpson have also requested the floor, but I would be grateful if we could concentrate on the task in hand.
Auch die Herren Cashman und Simpson haben mich um das Wort gebeten, aber ich wäre Ihnen dankbar, wenn wir uns auf die Arbeit konzentrieren würden.	The truth, and this may remove the need for the Members' procedural motions, is that it was Parliament that decided on Tuesday not to hold the debate.
Tatsache ist, und das macht die Geschäftsordnungsfragen der Kollegen vielleicht hinfällig, daß dieses Plenum am Dienstag beschlossen hat, daß es keine Debatte gibt.	Therefore, this President, although he might like to reverse this decision, is not going to do so.
Deshalb werde ich dies als Präsident nicht ändern, auch wenn ich es möchte.	This is clear.
Das versteht sich.	This is the decision of Parliament, and furthermore, incidentally, Mrs Doyle, I was rapporteur when this fund was approved for the first time and there was a long debate at the time about its creation.
Es ist die Entscheidung des Plenums, und außerdem war ich zufällig, Frau Doyle, Berichterstatter, als dieser Fonds zum ersten Mal beschlossen wurde, und es fand damals eine lange Aussprache über die Bildung dieses Fonds statt.	Therefore, I am sorry to say that we cannot make changes now.
Deshalb bedauere ich, daß wir jetzt keine Änderungen vornehmen können.	Mr Simpson has the floor.
Das Wort hat Herr Simpson.	Mr President, it is not my intention to delay the House any longer than we have to.
Herr Präsident, ich beabsichtige nicht, das Hohe Haus länger als unbedingt nötig aufzuhalten.	I do not want to get into the argument about the amendments because that can be sorted out by a vote.
Ich möchte mich nicht der Diskussion über die Änderungsanträge anschließen, da dies durch eine Abstimmung geklärt werden kann.	One point should be made, however; the process is not ideal.
Jedoch sollte eines klar gesagt werden.	Mrs Doyle and other Members are right but the problem we are faced with in the Regional and Transport Committee, which is the committee responsible, is that at the very last minute we were asked for urgency by the Council because somebody, somewhere, realised that we needed a resolution from this House to carry on the particular fund in question.
Das Verfahren ist nicht vollkommen, da haben Frau Doyle und die anderen Abgeordneten recht, aber das Problem, mit dem wir uns im Ausschuß für Regionalpolitik, Verkehr und Fremdenverkehr als dem federführenden Ausschuß konfrontiert sehen, besteht darin, daß wir im allerletzten Augenblick vom Rat um Dringlichkeit ersucht wurden, da irgendwo jemandem aufgefallen war, daß wir eine Entschließung in diesem Hause benötigten, um diesen Fonds weiterführen zu können.	Therefore, the only way we could do that was by this very quick procedure, through the committee on Tuesday, by a letter from the President.
Die einzige Möglichkeit bestand für uns daher darin, dies am Dienstag über den Ausschuß mittels eines Schreibens des Präsidenten in diesem Schnellverfahren abzuwickeln.	We thought we had an understanding that there would not be any amendments.
Wir waren der Auffassung, wir hätten vereinbart, daß es keine Änderungsanträge geben würde.	Sadly, that has not been the case.
Bedauerlicherweise wurde dies nicht eingehalten.	It is only fair to point out that given the time we had to do this, the committee and the Parliament have worked as effectively and as quickly as we possibly can in what proved to be difficult circumstances so that the money could be released next year for this very important fund.
Daher ist es nur gerechtfertigt, darauf hinzuweisen, daß der Ausschuß und das Parlament in der hierfür zur Verfügung stehenden Zeit so effektiv und schnell wie es irgend möglich war und unter schwierigen Umständen gearbeitet haben, damit das Geld im kommenden Jahr für diesen so wichtigen Fonds zur Verfügung gestellt werden kann.	Thank you very much, Mr Simpson.
Vielen Dank, Herr Simpson.	Before the plenary session, both the services and the Presidency examined the comments on the admissibility or otherwise of the amendments.
Die Bemerkungen über die verfahrensmäßige Zulässigkeit oder Unzulässigkeit der Änderungsanträge sind sowohl von den Diensten als auch von der Präsidentschaft vor dem Plenum geprüft worden.	Political evaluation is one thing but the technical possibility of admitting amendments is another thing altogether.
Die politische Bewertung ist die eine Sache, eine andere ist die technische Möglichkeit der Zulassung der Änderungsanträge.	In accordance with the Rules of Procedure, they are perfectly permissible.
Aus der Sicht der Geschäftsordnung sind sie völlig ordnungsgemäß.	Therefore, we shall now proceed to the vote on the proposed regulation.
Deshalb stelle ich den Verordnungsvorschlag zur Abstimmung.	(Parliament approved the Commission' s proposal) EXPLANATIONS OF VOTE
(Das Parlament billigt den Vorschlag der Kommission.)	- The amendments are inadmissible on the following grounds: the objectives of the Fund do not include promoting large-scale inward investment.
Erklärungen zur Abstimmung	The Fund exists to promote urban and rural development, community development, to enhance skills and to improve the environment; the justifications cited in the Green amendments are spurious.
Die Änderungsanträge sind aus folgenden Gründen unzulässig: Die Zielsetzungen des Fonds beinhalten nicht die Förderung umfangreicher Investitionszuflüsse aus dem Ausland.	The Fund has no role in the Raytheon project, nor could it have.
Der Fonds wurde eingerichtet, um die städtische und ländliche Entwicklung sowie die kommunale Entwicklung zu fördern, zur Anhebung des Qualifikationsniveaus beizutragen und Umweltschutzmaßnahmen umzusetzen.	The amendments simply seek to prevent the Fund from doing something which it could not do anyway; the purpose of the proposed Regulation is to permit the continuation of the financial contribution of the EU to the Fund; it does not in any way seek to amend the substance of the existing Regulation EC 2614/97, which is why the urgency procedure was agreed in the first place.
Die im Änderungsantrag der Grünen genannten Begründungen sind haltlos, der Fonds spielt im Raytheon-Projekt keine Rolle, und er könnte es auch gar nicht.	On the matters of substance, the projects referred to in the Green justification are not military projects.
In den Änderungsanträgen wird lediglich versucht, den Fonds von etwas abzuhalten, was für ihn ohnehin nicht in Frage käme.	- The vote on the fund which was tabled late by the Council was facilitated by the EP without debate, on the understanding from all groups including the Greens that there would be no amendments.
Zweck der vorgeschlagenen Verordnung ist es, die Fortführung der finanziellen Unterstützung der EU an den Fonds zu ermöglichen, der Inhalt der bestehenden Verordnung EG 2614/97 soll in keiner Weise verändert werden, weshalb das Dringlichkeitsverfahren zunächst angenommen wurde.	It would seem that at the instigation of Ms Patricia McKenna, the Greens broke this understanding.
Was den Inhalt anbelangt, so sind die in der Begründung der Grünen genannten Projekte nicht militärischer Art.	As a consequence of this I was being asked to vote on amendments which I had not had the opportunity to consult about or research and on which I would be precluded from debating on the floor of the House.
Die Abstimmung über den Vorschlag für eine Verordnung des Rates über Finanzbeiträge der Gemeinschaft zum Internationalen Fonds für Irland, der vom Rat erst spät vorgelegt wurde, ist vom EP ohne Aussprache unter der von allen Fraktionen, darunter auch der Grünen, akzeptierten Bedingung ermöglicht worden, daß es keine Änderungsanträge geben würde.	The company criticised in the amendments (Raytheon) was in fact welcomed by two Nobel Peace Prize winners (Hume/Trimble).
Es sieht so aus, daß sich die Grünen auf Betreiben von Frau Patricia McKenna nicht an diese Abmachung gehalten haben.	In addition, if we are to shut down or refuse investment from every company which may have an association with the arms industry, then we would have to close virtually every American and Japanese software company on the island of Ireland with catastrophic consequences.
Infolgedessen soll ich über Änderungsanträge abstimmen, zu denen ich mich nicht beraten und keine Nachforschungen anstellen konnte und auch nicht die Möglichkeit erhalte, sie hier in diesem Plenum zu erörtern.	I am opposed to the arms industry but we must not put at risk the economic prosperity of Northern Ireland with ill-conceived and badly researched amendments in the European Parliament.
Das in den Änderungsanträgen kritisierte Unternehmen (Raytheon) wurde sogar von zwei Nobelpreisträgern (Hume/Trimble) begrüßt.	- The EUR 45 million to the IFI is most welcome, and a continuing recognition of the European Union's support for the cross-border communities in Ireland.
Wenn wir zudem jedes Unternehmen, das auf irgendeine Weise mit der Rüstungsindustrie verbunden ist, schließen oder Investitionen dieser Unternehmen unterbinden, dann müßten wir so ziemlich alle amerikanischen und japanischen Softwareunternehmen auf der irischen Insel schließen, was katastrophale Auswirkungen hätte.	Any attempt to sully the reputation of the IFI is totally unacceptable and amounts to ill-informed political bandwagoning on the sensitivities of Northern Ireland and are not worthy of this Parliament.
Ich lehne die Rüstungsindustrie ab, jedoch dürfen wir die wirtschaftliche Prosperität Nordirlands nicht durch falsch verstandene und schlecht recherchierte Änderungsanträge im Europäischen Parlament gefährden.	For the record, Raytheon, a high-tech software plant to which the amendments are directed, is to be funded by the IDB, the Industrial Development Board in Northern Ireland, not the IFI.
Die 45 Mio. Euro für den Internationalen Fonds für Irland (IFI) sind sehr willkommen und bedeuten eine weitere Anerkennung der Unterstützung der Europäischen Union für die Gemeinden beiderseits der Grenze in Irland.	Community agricultural statistics
Jeglicher Versuch, das Ansehen des IFI zu beschmutzen, ist völlig inakzeptabel und läuft darauf hinaus, aufgrund mangelhafter Informiertheit lautstark politisches Kapital aus der heiklen Lage in Nordirland schlagen zu wollen.	The next item is the debate on the report (A5-0089/1999) by Mrs Redondo Jiménez, on behalf of the Committee on Agriculture and Rural Development, on the proposal for a European Parliament and Council decision amending Decision 96/411/EC on improving Community agricultural statistics [COM(1999) 332 - C5­0042/1999 - 1999/0137(COD)].
Dieses Vorgehen ist dieses Parlaments nicht würdig.	Mr President, the Commission proposes extending Decision 96/411 until 2002, removing certain articles in order to simplify its implementation and bringing forward the payment of 30% of the Community contribution to the Member States, and to do all of this in accordance with the codecision procedure.
Speziell sei darauf hingewiesen, daß Raytheon, eine Hightech-Softwareschmiede, um die es in den Änderungsanträgen geht, vom IDB, dem Industrial Development Board for Northern Ireland, und nicht vom IFI finanziert wird.	In 1997 an amendment to this Decision was presented which extended by two years the deadline for Member States to send their reports and the deadline for the Commission to draw up a progress report for Parliament and for the Council.
Agrarstatistik der Gemeinschaft	Given the importance of the common agricultural policy, the availability to everybody of reliable information for the purposes of decision making is essential.
Nach der Tagesordnung folgt die Aussprache über den Bericht (A5-0089/1999) von Frau Redondo Jiménez im Namen des Ausschusses für Landwirtschaft und ländliche Entwicklung über den Vorschlag für eine Entscheidung des Europäischen Parlaments und des Rates zur Änderung der Entscheidung 96/411/EG zur Verbesserung der Agrarstatistik der Gemeinschaft (KOM(1999) 332 - C5­0042/1999 - 1999/0137(COD))	Therefore, it must be a priority for the institutions to provide the means for this information to be ever more complete, reliable and quick, and therefore agricultural statistics must be ever more flexible, harmonious and coherent with other statistical fields with the possibility of incorporating new sources.
.	To this end, we have to identify, firstly, the areas in which it is possible to implement rationalisation measures, secondly, areas where there are new and increasing needs, and thirdly, general principles in accordance with which actions are carried out.
(ES) Herr Präsident!	Having said this, it should not be necessary to point out that all the Member States should act in accordance with these intentions.
Die Kommission schlägt vor, die Entscheidung 96/411 bis zum Jahr 2002 zu verlängern, bestimmte Artikel zur Vereinfachung ihrer Anwendung zu streichen und 30 % des Gemeinschaftsbeitrags an die Mitgliedstaaten im voraus auszuzahlen, und dies alles im Mitentscheidungsverfahren.	However, this is not the case: this is a voluntary programme for the Member States.
1997 wurde eine Änderung dieser Entscheidung vorgelegt, durch welche die Frist für die Einreichung der Berichte durch die Mitgliedstaaten und der der Kommission zur Erarbeitung des Berichts über den Fortschritt für das Parlament und den Rat zur Verfügung stehende Zeitraum um zwei Jahre verlängert wurde.	I would like to stress that it is not at all easy for this Parliament to understand that any Member State might say "I am not interested, I am not taking part" .
In Anbetracht der Bedeutung der gemeinsamen Agrarpolitik steht die Notwendigkeit, zum Zeitpunkt der Entscheidungsfindung über verläßliche Daten zu verfügen, außer Frage.	The common agricultural policy belongs to all the Member States.
Deshalb muß eine vorrangige Aufgabe der Institutionen darin bestehen, die Mittel bereitzustellen, damit diese Daten immer vollständiger, verläßlicher und schneller verfügbar sind, weshalb die Agrarstatistiken immer flexibler, harmonischer und mit anderen statistischen Bereichen immer enger verbunden sein müssen, wobei die Möglichkeit der Einbeziehung neuer Quellen gegeben sein muß.	It affects all of us.
Dazu müssen zum ersten die Gebiete, auf denen Rationalisierungsmaßnahmen getroffen werden können, zweitens die Bereiche, in denen es neuen oder wachsenden Bedarf gibt, und drittens die allgemeinen Kriterien, nach denen die durchzuführenden Aktionen auszurichten sind, bestimmt werden.	Therefore, I would like both the Commission and the Council to reconsider the matter and for the next proposal submitted to this Parliament to establish the obligatory nature of its application in all Member States, with a single legal basis in the statistical field.
Dies vorausgeschickt, erübrigt es sich darauf hinzuweisen, daß sich alle Mitgliedstaaten an diese Absichten halten müßten.	There is another aspect which I would like to point out to the Commission and the Council with regard to amendment 5, which I hope will be taken into account, given that the information requested in it, according to Regulation (EC) 1390/99, which entered into force on 23 November 1999, establishes in article 2 that "each Member State will provide the Commission with all the information classified by budgetary items which will be forwarded at the request of the Commission within 30 days" .
Aber dem ist nicht so: Dies ist ein freiwilliges Programm für die Mitgliedstaaten.	Therefore, I request a specific commitment by the Commission that it will define each year, amongst the priority plans for technical action proposed to it by the Standing Committee on Agricultural Statistics, the things requested in our Amendments Nos 4 and 5, since otherwise, the codecision procedure would be delayed and it would become more difficult for the Member States to draw up their statistical reports.
Ich möchte betonen, daß es für dieses Parlament keineswegs leicht zu verstehen ist, wenn ein Mitgliedstaat sagen würde, "das interessiert mich nicht, ich nehme nicht teil ".	Therefore, I would like to hear the Commission' s opinion with regard to this point in the debate.
Die gemeinsame Agrarpolitik ist die aller Mitgliedstaaten, sie geht uns alle an.	Mr President, I want to thank Mrs Redondo for her report and for her excellent explanation of what all this is about and why it is important.
Deshalb möchte ich, daß sowohl die Kommission als auch der Rat das Thema überdenken und mit dem nächsten Vorschlag, der diesem Parlament unterbreitet wird, dieVerbindlichkeit der Anwendung in allen Mitgliedstaaten mit einer einheitlichen Rechtsgrundlage in der Frage der Statistik festgelegt wird.	One of the things that I miss from the information we were given is the cost of this operation or what the cost would be if every Member State involved themselves in it.
Es gibt einen weiteren Aspekt, auf den ich die Kommission und den Rat im Zusammenhang mit dem Änderungsantrag 5 hinweisen möchte, von dem ich hoffe, daß er Berücksichtigung findet, denn bezüglich der darin geforderten Daten wird in Artikel 2 der am 23. November 1999 in Kraft getretenen Verordnung (EG) 1390/99 festgelegt, daß jeder Mitgliedstaat sämtliche Daten, geordnet nach Haushaltspositionen, für die Kommission bereithält und sie der Kommission auf deren Ersuchen innerhalb von höchstens 30 Tagen übermittelt.	I do not suppose it is very big.
Deshalb ersuche ich um eine ausdrückliche Verpflichtung der Kommission, in den ihr vom ständigen Agrarstatistischen Ausschuß vorgeschlagenen technischen Aktionsplänen jährlich die in unseren Änderungsanträgen 4 und 5 enthaltenen Forderungen zu definieren, da sich der Mitentscheidungsprozeß für uns ansonsten in die Länge ziehen und dies den Mitgliedstaaten die Erarbeitung ihrer statistischen Berichte erschweren würde.	Nevertheless the information is necessary for a Parliament discussing the subject.
Deshalb hoffe ich und würde ich mich freuen, in dieser Aussprache die Meinung der Kommission zu diesem Punkt zu erfahren.	Of course, as the common agricultural policy develops from a situation in which we pay subsidies at the point of export or at the point of entry into intervention into a situation where we pay subsidies for individual animals on an acreage or the hectarage of crop planted, obviously it is extremely important that we know exactly how many animals there are in the Union, how many hectares and how many olive trees and all the rest of it.
Herr Präsident, ich möchte Frau Redondo für ihren Bericht und ihre ausgezeichnete Erklärung dessen, worum es hier geht und weshalb es so wichtig ist, danken.	All that information is extremely important.
In den uns nun vorliegenden Informationen vermisse ich allerdings unter anderem die Kosten dieses Verfahrens bzw. die Kosten, die auf jeden Mitgliedstaat zukommen, der sich selbst daran beteiligt.	It is extremely regrettable if we, at European level, the institutions who organise the common agricultural policy on which the farmers of the Union depend for their livelihood, cannot obtain correct information on which to base an effective policy.
Ich glaube nicht, daß sie sehr hoch sind, aber die Information ist für ein Parlament, das dieses Thema erörtert, trotzdem erforderlich.	It is very hard to understand why we do not have better cooperation from all the Member States.
Da sich die Gemeinsame Agrarpolitik nunmehr aus einer Situation wegentwickelt, in der wir Subventionen zum Zeitpunkt des Exports oder zum Zeitpunkt von Interventionen zahlen, und eine Richtung eingeschlagen wird, im Rahmen derer Subventionen für einzelne Tiere je Fläche bzw. für die Anbaufläche der entsprechenden Kulturen gezahlt werden, ist es natürlich äußerst wichtig, genau zu wissen, wie viele Tiere es in der Union gibt, wieviel Hektar, wie viele Olivenbäume usw. Alle diese Angaben sind enorm wichtig.	When we expand the European Union, or even without expansion, we will not retain all the provisions of the present policy.
Es ist zutiefst bedauerlich, daß wir, die Institutionen, die die Gemeinsame Agrarpolitik auf europäischer Ebene organisieren, von der der Lebensunterhalt der europäischen Landwirte abhängt, keine genauen Informationen erlangen können, um auf deren Basis eine wirksame Politik zu betreiben.	Nevertheless, we will need this information so that we are able to extend some sort of assistance on a reasonable basis to the new countries of the Union where food production and agricultural production will increase by 50 per cent what we have in the Union today.
Es ist nur schwer verständlich, weshalb die Mitgliedstaaten nicht besser mitarbeiten.	It is also advisable to remember that in the Court of Auditors' report, which has just come out and which was debated this week, we did not find in the whole agricultural sector any indication of massive racketeering or fraud on a large scale but we notice that there seem to be an awful lot of little problems with the number of livestock and the amount of hectarage for area aid and so on.
Wenn wir zur Erweiterung der Europäischen Union schreiten - und selbst ohne die Erweiterung - werden wir nicht alle gegenwärtig geltenden politischen Bestimmungen beibehalten können.	There are small errors over a very wide area and that is a serious problem that we have to address.
Trotzdem werden wir diese Informationen benötigen, um den zukünftigen Mitgliedstaaten der Union einige Hilfestellung auf einer vernünftigen Grundlage zukommen lassen zu können, denn die Lebensmittel- und Agrarproduktion wird um 50 % des heutigen Standes in der Union zunehmen.	Finally, I would say that in the new Europe it is going to be important for farmers to base their levels of production on the projected quantities that will be produced in the Union.
Wir sollten uns ebenso in Erinnerung rufen, daß der soeben erschienene Bericht des Rechnungshofs, der in dieser Woche erörtert wurde, keinen einzigen Hinweis auf größere Unterschlagungen oder Betrug in großem Stil im gesamten Agrarsektor enthält.	That cannot happen if we do not know the statistics of the agricultural industry.
Jedoch stellen wir fest, daß es bei der Anzahl der Tiere, der Größe der für die Hektarbeihilfe in Frage kommenden Anbaufläche usw. eine Vielzahl kleinerer Probleme zu geben scheint.	Increasingly, rather than screaming at the institutions of Union to solve the problems, farmers will have to come together and try to calculate what the needs of the market are and produce for those needs.
In einem äußerst umfassenden Bereich häufen sich viele kleine Unzulänglichkeiten, und dies ist ein ernstes Problem, das wir bewältigen müssen.	That does not mean that we want to bring an end to subsidisation.
Abschließend möchte ich bemerken, daß es im neuen Europa für die Landwirte sehr wichtig sein wird, ihr Produktionsniveau auf die in der Union geplanten Mengen auszurichten.	For example, there is the pigmeat industry where we produce 18 million tons of pigmeat annually and we end up in a situation where there is a million tons in surplus.
Dies wird nicht möglich sein, wenn uns keine Agrarstatistik zur Verfügung steht.	Prices collapse, there is terrible hardship and indeed terrible profiteering by middlemen.
Anstatt die Einrichtungen der Union um die Lösung der Probleme anzurufen, werden sich die Landwirte sich häufiger zusammensetzen müssen und den Bedarf des Marktes analysieren, um genau dafür zu produzieren.	If we had good statistics, we would be able to deal with a problem like that before it arose.
Das heißt nicht, daß wir die Subventionen stoppen wollen.	Mr President, I would first like to thank the rapporteur, Mrs Redondo Jiménez, for this report and her excellent display of cooperation as chair of the Committee on Agriculture and Rural Development this autumn.
Nehmen wir z. B. den Schweinefleischsektor, der jährlich 18 Mio. t Schweinefleisch produziert, was aber eine Million Tonnen zuviel ist.	A viable system for statistics is an important basis for making good decisions.
Die Preise purzeln, für die Landwirte wird es schwierig, doch die Zwischenhändler erzielen außerordentlich gute Gewinne.	Statistics have to be comprehensive, reliable and consistent.
Hätten wir eine aussagekräftige Statistik, so könnten wir ein solches Problem angehen, bevor es überhaupt entsteht.	The report quite clearly explains the legal basis of statistics, especially in Amendments Nos 2 and 3, which specify the Community' s share of the advance.
Herr Präsident, zunächst danke ich der Berichterstatterin Redondo Jiménez für diesen Bericht und insbesondere für die gute Zusammenarbeit in ihrer Eigenschaft als stellvertretende Vorsitzende des Ausschusses für Landwirtschaft und ländliche Entwicklung während dieser Sitzungsperiode.	Politically, the most important message is contained in Amendments Nos 4 and 5, which urges the practice of cross-tabulating subsidies received according to, inter alia, farm surface area.
Eine funktionierende Statistik ist eine wichtige Grundlage für ordentliche Beschlüsse.	This information will be especially important when we consider the social side of agricultural subsidies.
Die Statistiken sollten repräsentativ, zuverlässig und auf einheitlicher Basis erstellt sein.	It would be difficult to support a subsidy scheme that channelled most of the aid to the large farms in the best agricultural regions.
In dem Bericht wird ganz richtig die gesetzliche Grundlage statistischer Angaben, insbesondere in Änderungsantrag 2 und in Änderungsantrag 3 zur Präzisierung des Anteils der Vorauszahlungen der Gemeinschaft erläutert.	We have no data on this, but have to be content with the rumours that 80% of aid would go to 20% of farmers.
Die politisch wichtigste Botschaft ist in den Änderungsanträgen 4 und 5 enthalten, wonach die erhaltenen Beihilfen zum Beispiel entsprechend der Fläche der landwirtschaftlichen Betriebe zu klassifizieren sind.	Amendment No 1 emphasised the importance of statistics in connection with enlargement towards the east.
Diese Angabe ist sehr wichtig, wenn man an den sozialen Aspekt der Agrarbeihilfen denkt.	This is a very important consideration that still means much work for the EU and the applicant countries.
Es wäre auch problematisch, ein Beihilfesystem zu befürworten, das die meisten Beihilfen in die großen Betriebe in den besten landwirtschaftlichen Gebieten lenkt.	The problems over statistics for the applicant countries will not be resolved through this report.
Wir verfügen hierzu über keine verbrieften Angaben, sondern müssen uns mit den Gerüchten begnügen, wonach achtzig Prozent der Beihilfen an zwanzig Prozent der Bauern gehen würden.	Problems have continued since the land register began to function.
In Änderungsantrag 1 wird die Bedeutung der Statistiken im Zusammenhang mit der Osterweiterung hervorgehoben.	Embarking on eastward enlargement without any information on its effect on the budget would be political suicide.
Dabei handelt es sich um einen besonders wichtigen Aspekt, der sowohl von der EU als auch den Kandidatenländern noch viel Arbeit erfordert.	It does not help much, though, if our current data on expenditure is based on mistaken or unreliable data.
Die Statistikprobleme der Kandidatenländer werden durch diesen Bericht nicht gelöst.	The most important aspect of statistical data on the European farmer is the reference yield.
Es gibt nach wie vor genug Probleme.	When Finland became a Member, as a result of poor yield in previous years, we had to be satisfied with a figure that did not reflect the truth in normal years.
Die fangen schon bei einem funktionierenden Grundbuch an.	These reference yields should be raised to a realistic level as soon as possible, or we should start to reconsider the whole basis of their use and the idea of a drop in the price of grain as compensation for hectarage aid.
Der Beginn der Osterweiterung ohne Angaben über ihre Auswirkungen auf den Haushalt wäre politischer Selbstmord.	We cannot undertake to subsidise producers in regions of highest yield in Europe for years and years on account of price reductions that have sometimes taken place in the past.
Dennoch hilft das nicht viel, wenn sich unsere jetzigen Informationen über die Ausgaben auf falsche und unzuverlässige Angaben gründen.	The most obvious answer would be to harmonise hectarage aid as closely as possible within the whole territory of the EU.
